rule_id|current_script|pattern|objectclass|proposed_script|confidence
A-VULN-CLFSPrivEsc-CVE-2021-43226|active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-ImproperAccessControl-CVE-2025-59230|active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-Kerberos-PrivEsc-CVE-2025-26647|active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-LDAP-RCE-CVE-2022-22012|active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-LDAP-RCE-CVE-2022-29130|active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-LDAP-RCE-CVE-2024-49112|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-LDAPNightmare-CVE-2024-49112|active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-LDAPNightmare-CVE-2024-49113|active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-noPac-CVE-2021-42287|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domainDNS|NEED_NEW_COLLECTOR|LOW
A-VULN-NTLM-PrivEsc-CVE-2025-21311|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-NTLMHashDisclosure-CVE-2024-43451|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-NTLMHashDisclosure-CVE-2025-24054|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-PetitPotam-CVE-2021-36942|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-PowerShellCommandInjection-CVE-2025-54100|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-PrintNightmare-CVE-2021-34527|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-RaceCondition-CVE-2025-62215|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-ShadowCredentials|Collect-ADCompleteTaxonomy.ps1|*_DATA_Domain.xml|domainDNS|NEED_NEW_COLLECTOR|LOW
A-VULN-SMBClientPrivEsc-CVE-2025-33073|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-TaskSchedulerPrivEsc-CVE-2024-49039|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-UseAfterFree-CVE-2025-62221|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-Win32kPrivEsc-CVE-2023-29336|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-Windows-DWM-CVE-2026-20805|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-WindowsInstallerPrivEsc-CVE-2024-38014|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-WSUSDeserializationRCE-CVE-2025-59287|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-VULN-ZeroLogon-CVE-2020-1472|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
